word,synset_difficulty,syllable_difficulty,frequency_difficulty,word_difficulty,word_difficulty_class
punch's,-0.5474026753548172,-1.1714702631029321,-0.35989409000086103,-1.311285912627712,easy
einstein's,-0.5474026753548172,-0.22548916358378593,-0.4202518790533497,-0.7526348685178074,easy
command,2.3026949338820946,-0.22548916358378593,-0.42406377589280614,1.0428017084937984,hard
badonkadonk,-0.5474026753548172,1.6664730354545063,-0.3064593408994078,0.5125949023318329,hard
mental,0.6401379951605626,-0.22548916358378593,-0.4240786100753877,-0.005948302784846976,medium
mcfly,-0.5474026753548172,-1.1714702631029321,-0.4191367971045052,-1.348656202894698,easy
roamin',-0.5474026753548172,-0.22548916358378593,-0.33992910219680766,-0.7019672735861997,easy
bullied,-0.07238640714866534,-0.22548916358378593,-0.4235352911862816,-0.45506585754926265,medium
moncler,-0.5474026753548172,-0.22548916358378593,-0.4048529823482906,-0.7429212469128285,easy
anotha,-0.5474026753548172,0.7204919359353601,-0.3299916885332497,-0.0989740267258456,medium
fairfax,-0.5474026753548172,-0.22548916358378593,-0.4232539856191072,-0.7545285968644629,easy
sturgess,-0.5474026753548172,-0.22548916358378593,-0.39937154103992173,-0.7394635546028396,easy
daniel's,-0.5474026753548172,-0.22548916358378593,-0.4217888723981637,-0.753604403676517,easy
drips,0.6401379951605626,-1.1714702631029321,-0.42007178934883094,-0.6001455287983175,medium
carpets,0.6401379951605626,-0.22548916358378593,-0.4228947029851794,-0.005201494379673567,medium
morgue,-0.3098945412517413,-1.1714702631029321,-0.4217306157785853,-1.2004722898926556,easy
state-owned,-0.5474026753548172,-0.22548916358378593,-0.42406639541666175,-0.7550410648362125,easy
medellin,-0.3098945412517413,0.7204919359353601,-0.41840206231298266,-0.004923183105667687,medium
egregious,-0.3098945412517413,0.7204919359353601,-0.4218443570929405,-0.007094582108189671,medium
evenin',-0.5474026753548172,0.7204919359353601,-0.39979102473532335,-0.1430034369577421,medium
semi-charmed,-0.5474026753548172,1.6664730354545063,-0.42242329881354446,0.43944485602861005,hard
sonnets,0.1651217269544106,-0.22548916358378593,-0.4203435180010797,-0.3032323941178412,medium
creator,-0.07238640714866534,0.7204919359353601,-0.42394387109310194,0.14140113820394673,medium
bridgedemo,-0.5474026753548172,1.6664730354545063,2.446825332260101,2.2493664385077263,hard
dnmsn,-0.5474026753548172,-1.1714702631029321,2.446825332260101,0.45919225482638043,hard
setfires,-0.5474026753548172,0.7204919359353601,2.446825332260101,1.6526417106139446,hard
weil,-0.07238640714866534,-1.1714702631029321,-0.42082870933085526,-1.0500832740369048,easy
dumplan,-0.5474026753548172,-0.22548916358378593,2.446825332260101,1.0559169827201627,hard
straddler,-0.5474026753548172,-0.22548916358378593,2.446825332260101,1.0559169827201627,hard
oo-oo-oo-ooooo-oooo-ooooo-ooooo-oooo,-0.5474026753548172,5.450397433531091,-0.36670215084204316,2.8614926589273857,hard
kura,-0.3098945412517413,-0.22548916358378593,-0.40523327373092866,-0.5933410412455915,medium
mightruna,-0.5474026753548172,0.7204919359353601,2.446825332260101,1.6526417106139446,hard
'why,-0.5474026753548172,-1.1714702631029321,-0.4241177054575274,-1.3517981590956538,easy
nightprayers,-0.5474026753548172,-0.22548916358378593,2.446825332260101,1.0559169827201627,hard
know-,-0.5474026753548172,-1.1714702631029321,-0.424118800541528,-1.3517988498744682,easy
puppeteer,-0.3098945412517413,0.7204919359353601,-0.41675967801392855,-0.003887167349699352,medium
winn,-0.5474026753548172,-1.1714702631029321,-0.421389445946516,-1.3500771734278012,easy
habitat,-0.3098945412517413,0.7204919359353601,-0.4238204878832622,-0.008341125098040796,medium
harness,0.8776461292636385,-0.22548916358378593,-0.423507760031803,0.14423188274355186,medium
jurgis,-0.5474026753548172,-0.22548916358378593,-0.35842436485056905,-0.7136340823416809,easy
hundredweights,0.1651217269544106,0.7204919359353601,2.446825332260101,2.102101990847639,hard
lada,-0.5474026753548172,-0.22548916358378593,-0.41163870336718833,-0.7472016786578424,easy
hemosphores,-0.5474026753548172,1.6664730354545063,2.446825332260101,2.2493664385077263,hard
idi,-0.5474026753548172,-0.22548916358378593,-0.4154736501188323,-0.7496207624619746,easy
selfishly,-0.3098945412517413,0.7204919359353601,-0.41756640689663416,-0.004396051801261078,medium
geiyor,-0.5474026753548172,-1.1714702631029321,2.446825332260101,0.45919225482638043,hard
smear,1.3526623974697904,-1.1714702631029321,-0.42312456868634446,-0.15261094128768454,medium
chiffons,-0.3098945412517413,-0.22548916358378593,-0.3381645996875182,-0.5510341322713063,medium
garratt,-0.5474026753548172,-0.22548916358378593,-0.405717576431895,-0.7434666327239612,easy
woo,-0.07238640714866534,-1.1714702631029321,-0.4237336891871807,-1.0519157348706192,easy
becah,-0.5474026753548172,-0.22548916358378593,2.446825332260101,1.0559169827201627,hard
martinis,-0.3098945412517413,0.7204919359353601,-0.41692572465425987,-0.003991909544146735,medium
einstein,-0.07238640714866534,-0.22548916358378593,-0.423599183702079,-0.45510616093811795,medium
frre,-0.5474026753548172,-1.1714702631029321,-0.20826044663788684,-1.2156354343873883,easy
forty-four,-0.3098945412517413,0.7204919359353601,-0.4239309627576892,-0.008410812631348874,medium
nacho,-0.3098945412517413,-0.22548916358378593,-0.421389445946516,-0.6035323521227877,medium
cashis,-0.5474026753548172,-0.22548916358378593,2.446825332260101,1.0559169827201627,hard
mph,-0.07238640714866534,-1.1714702631029321,-0.42385279139350973,-1.0519908645235259,easy
a-swayin',-0.5474026753548172,-0.22548916358378593,-0.1980623065230492,-0.6124777213228217,easy
drunkat,-0.5474026753548172,-0.22548916358378593,2.446825332260101,1.0559169827201627,hard
drinker,-0.07238640714866534,-0.22548916358378593,-0.42222104835297974,-0.4542368333779689,medium
sequels,-0.07238640714866534,-0.22548916358378593,-0.4227144419244095,-0.45454806596475694,medium
asleep,0.6401379951605626,-0.22548916358378593,-0.4239957157040777,-0.0058960130285410075,medium
expenditures,0.1651217269544106,2.6124541349736523,-0.4232539856191072,1.4851058670505772,hard
ching-ching,-0.5474026753548172,-0.22548916358378593,-0.4216693741913087,-0.7535290242265411,easy
solution,0.6401379951605626,0.7204919359353601,-0.424079592003238,0.5907758057090023,hard
mafiosa,-0.5474026753548172,0.7204919359353601,2.446825332260101,1.6526417106139446,hard
allonz,-0.5474026753548172,-0.22548916358378593,2.446825332260101,1.0559169827201627,hard
brenda's,-0.5474026753548172,-0.22548916358378593,-0.40096828542886986,-0.7404707807107348,easy
